,title,created,type,price,available,sku
64,1879 Braunstein Freres Long Sleeve - Black,2021-11-23T18:11:59-05:00,Apparel,44.99,False,
65,1879 Braunstein Freres Long Sleeve - Black,2021-11-23T18:11:59-05:00,Apparel,44.99,False,
66,1879 Braunstein Freres Long Sleeve - Black,2021-11-23T18:11:59-05:00,Apparel,44.99,False,
67,1879 Braunstein Freres Long Sleeve - Black,2021-11-23T18:11:59-05:00,Apparel,44.99,False,
68,1879 Braunstein Freres Long Sleeve - Black,2021-11-23T18:11:59-05:00,Apparel,44.99,False,
69,1879 Floral T-Shirt,2021-11-23T18:08:18-05:00,Apparel,34.99,False,
70,1879 Floral T-Shirt,2021-11-23T18:08:18-05:00,Apparel,34.99,False,
71,1879 Floral T-Shirt,2021-11-23T18:08:18-05:00,Apparel,34.99,False,
72,1879 Floral T-Shirt,2021-11-23T18:08:18-05:00,Apparel,34.99,False,
73,1879 Floral T-Shirt,2021-11-23T18:08:18-05:00,Apparel,34.99,False,
74,1879 Qualite Superieure T-Shirt - White,2021-11-23T17:53:26-05:00,Apparel,34.99,False,
75,1879 Qualite Superieure T-Shirt - White,2021-11-23T17:53:26-05:00,Apparel,34.99,False,
76,1879 Qualite Superieure T-Shirt - White,2021-11-23T17:53:26-05:00,Apparel,34.99,False,
77,1879 Qualite Superieure T-Shirt - White,2021-11-23T17:53:26-05:00,Apparel,34.99,False,
78,1879 Qualite Superieure T-Shirt - White,2021-11-23T17:53:26-05:00,Apparel,34.99,False,
79,1879 Qualite Superieure T-Shirt - Black,2021-11-23T17:51:45-05:00,Apparel,34.99,False,
80,1879 Qualite Superieure T-Shirt - Black,2021-11-23T17:51:45-05:00,Apparel,34.99,False,
81,1879 Qualite Superieure T-Shirt - Black,2021-11-23T17:51:45-05:00,Apparel,34.99,False,
82,1879 Qualite Superieure T-Shirt - Black,2021-11-23T17:51:45-05:00,Apparel,34.99,False,
83,1879 Qualite Superieure T-Shirt - Black,2021-11-23T17:51:45-05:00,Apparel,34.99,False,
